Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,910576,958937
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,29147,52262
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,18880,19542
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,18678,20453
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,17767,18022
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,14207,29966
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,8223,8749
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,3974,5158
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,2995,3057
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,2092,16202
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,1741,3240
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,1335,1877
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,1168,2181
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,887,1525
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,722,873
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,625,956
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,395,7688
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,259,472
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,183,187
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,61,65
US-Canada Border,12/01/2018 12:00:00 AM,Trains,55,62
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,24,71
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,8,83
US-Canada Border,12/01/2018 12:00:00 AM,Buses,1,16
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,1027086,1056104
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,982502,1035436
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,58110,60102
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,34611,49640
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,22359,23027
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,21805,37420
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,7761,15523
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,2919,4148
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,2782,2959
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,1931,2161
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,1851,1913
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,927,2511
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,740,747
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,459,917
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,271,821
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,134,675
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,122,126
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,65,450
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,57,1213
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,40,91
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,19,170
US-Canada Border,12/01/2017 12:00:00 AM,Trains,15,22
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,12,75
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4,20
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,1871250,1929110
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,1126342,1156878
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,29439,31433
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,5831,6477
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,5567,5742
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,4517,4953
